Follower	Followee	Weight
17711	18755	1.0
17711	20243	1.0
21575	4946	1.0
21575	9608	1.0
21575	593	1.0
10406	8708	1.0
10406	13369	1.0
10406	9731	1.0
10406	1249	1.0
10406	21711	1.0
10406	17902	1.0
10406	12744	1.0
21943	21801	1.0
6728	1249	1.0
6728	13826	1.0
6728	475	1.0
21599	24288	1.0
21599	5710	1.0
21599	1249	1.0
21599	17366	1.0
21599	2013	1.0
21599	10175	1.0
6380	6827	1.0
6380	26318	1.0
6380	5656	1.0
6380	11263	1.0
6380	6530	1.0
6380	7526	1.0
6380	279	1.0
25061	1485	1.0
11504	19109	1.0
11504	13764	1.0
3884	19244	1.0
25094	1249	1.0
24798	24209	1.0
24798	2737	1.0
15603	22146	1.0
23463	13792	1.0
8231	2418	1.0
8231	12180	1.0
8231	8626	1.0
8231	17991	1.0
8231	6251	1.0
6729	13387	1.0
23854	22424	1.0
23854	12744	1.0
23851	19529	1.0
23851	6826	1.0
22264	19907	1.0
22264	21606	1.0
22264	21203	1.0
22264	22319	1.0
22264	20478	1.0
22264	18977	1.0
22264	22413	1.0
3885	1740	1.0
3885	5710	1.0
3885	18105	1.0
15604	1249	1.0
15604	12137	1.0
15604	13762	1.0
15604	11412	1.0
15604	17602	1.0
4852	3145	1.0
4852	13515	1.0
4852	5567	1.0
4852	1211	1.0
4852	6052	1.0
4852	7264	1.0
4852	7707	1.0
4852	9915	1.0
4852	522	1.0
4852	5255	1.0
4852	21120	1.0
4852	7100	1.0
4852	4568	1.0
4852	11595	1.0
4852	2919	1.0
4852	649	1.0
4852	14024	1.0
4852	4621	1.0
4852	2335	1.0
4852	17350	1.0
4852	9297	1.0
4852	18223	1.0
4852	10492	1.0
4852	3913	1.0
4852	1384	1.0
4852	1037	1.0
4852	1249	1.0
4852	83	1.0
4852	2934	1.0
4852	6060	1.0
4852	7997	1.0
4852	19358	1.0
4852	9780	1.0
4852	3110	1.0
4852	4837	1.0
4852	18012	1.0
4852	7800	1.0
4852	5790	1.0
4852	3544	1.0
4852	8547	1.0
13684	15531	1.0
597	1249	1.0
597	3503	1.0
24081	25657	1.0
20122	479	1.0
6730	6445	1.0
6730	10831	1.0
26152	25428	1.0
26152	26149	1.0
26152	26156	1.0
10408	9139	1.0
10408	14201	1.0
10408	8348	1.0
17712	1807	1.0
15605	11693	1.0
15605	7355	1.0
15605	2039	1.0
15605	2737	1.0
15605	17406	1.0
15605	18136	1.0
3048	1249	1.0
201	18130	1.0
18630	14509	1.0
202	506	1.0
21472	21894	1.0
13054	19907	1.0
13054	13198	1.0
10409	1420	1.0
10409	4272	1.0
13055	12034	1.0
13055	7431	1.0
13055	14231	1.0
13055	19598	1.0
10410	3659	1.0
20090	20165	1.0
20090	13831	1.0
20090	10935	1.0
10411	18534	1.0
10411	242	1.0
10411	14054	1.0
10411	10599	1.0
10411	13615	1.0
10411	11377	1.0
10411	5272	1.0
10411	16950	1.0
10411	10390	1.0
6731	1701	1.0
203	9252	1.0
203	17210	1.0
203	11563	1.0
203	10857	1.0
203	19494	1.0
203	19275	1.0
203	8662	1.0
203	479	1.0
203	173	1.0
203	99	1.0
203	14782	1.0
203	20425	1.0
203	10723	1.0
203	5817	1.0
23822	22466	1.0
3886	11879	1.0
3886	10091	1.0
3886	11059	1.0
3886	10877	1.0
3886	10332	1.0
3886	3891	1.0
20827	6550	1.0
20827	4095	1.0
15607	14018	1.0
15607	15562	1.0
13520	17023	1.0
17714	6022	1.0
23783	25672	1.0
23783	24676	1.0
23783	24828	1.0
23783	25759	1.0
23783	25675	1.0
23783	24401	1.0
23783	25673	1.0
23783	24436	1.0
15609	17587	1.0
15609	4410	1.0
15609	61	1.0
15609	600	1.0
15609	511	1.0
10412	18297	1.0
10412	18252	1.0
24055	23756	1.0
23118	6022	1.0
23118	1363	1.0
17715	14758	1.0
17715	9720	1.0
9957	1741	1.0
19297	19840	1.0
19297	6198	1.0
17401	1249	1.0
17401	19529	1.0
17401	21016	1.0
3887	3080	1.0
3887	1316	1.0
11672	2377	1.0
11672	11839	1.0
11672	20031	1.0
11672	16299	1.0
11672	2788	1.0
204	9374	1.0
3888	13661	1.0
3888	304	1.0
3888	10405	1.0
3888	8599	1.0
6732	8775	1.0
6732	14156	1.0
205	6721	1.0
17716	570	1.0
10415	13872	1.0
17717	16058	1.0
17717	2860	1.0
17717	20952	1.0
17717	17723	1.0
9958	12364	1.0
10416	19448	1.0
10416	4812	1.0
10416	7232	1.0
20351	12689	1.0
3890	969	1.0
206	1459	1.0
206	1462	1.0
206	550	1.0
206	522	1.0
19125	1740	1.0
19125	19362	1.0
19125	20612	1.0
3891	2737	1.0
3891	3886	1.0
3891	11778	1.0
9959	3112	1.0
9959	9206	1.0
3892	751	1.0
3892	4551	1.0
3892	12216	1.0
3892	4544	1.0
7408	2695	1.0
20486	960	1.0
207	2792	1.0
207	7227	1.0
207	879	1.0
6734	3800	1.0
17718	4090	1.0
17718	15787	1.0
15610	4116	1.0
15610	16004	1.0
14807	16391	1.0
17720	13058	1.0
17720	11911	1.0
17720	3056	1.0
17720	19824	1.0
17720	12744	1.0
17720	20471	1.0
17720	2039	1.0
19298	23588	1.0
14735	15319	1.0
24118	21624	1.0
10417	2794	1.0
6735	20290	1.0
6735	13883	1.0
6735	19852	1.0
6735	17517	1.0
6735	21797	1.0
6735	13074	1.0
6735	8457	1.0
6735	11778	1.0
